Day,File,Pair,Spearman_r,Spearman_p,Spearman_CI_low,Spearman_CI_high,Kendall_tau,Kendall_p,Kendall_CI_low,Kendall_CI_high
Barney_210805,rankSim_S1.mat,R1-R3,-0.142857142857143,0.8764,-1,1,-0.2,0.832,-1,1
Barney_210805,rankSim_S1.mat,R2-R3,0.942857142857143,0.0793,0.515151515151515,1,0.866666666666667,0.0793,0.384615384615385,1
Thor_171005,rankSim_All.mat,R1-R2,0.0775910791408914,0.0002,0.00850679825285903,0.157385283718112,0.0519839693032627,0.0002,0.00584524707094755,0.105719446121346
Thor_171005,rankSim_All.mat,R1-R3,0.0689832702912746,0.0013,0.00333682904317482,0.148792940233458,0.0460236326345491,0.0013,0.00209494385849539,0.0995116986966234
Thor_171005,rankSim_All.mat,R2-R3,0.062269941889016,0.0053,-0.00951274928110997,0.15421545744113,0.0417002813600003,0.0051,-0.00629164674593204,0.103737632261185
Thor_171005,rankSim_M1.mat,R1-R2,0.159387085373927,0.0006,0.00327763703441416,0.315630052765247,0.105688684636053,0.0006,0.00300750475082724,0.212309232348451
Thor_171005,rankSim_M1.mat,R1-R3,0.182272410890832,0.0053,0.000969690209572726,0.377659083860487,0.124257861099966,0.005,0.00287213889559406,0.263735107056405
Thor_171005,rankSim_M1.mat,R2-R3,0.064175269767375,0.084,-0.0665375639169729,0.217937689082279,0.0430187272292535,0.0833,-0.0461484609263113,0.147016831896759
Thor_171005,rankSim_M3.mat,R1-R2,0.012571550502585,0.7952,-0.165976449926625,0.225821676234003,0.00660463419084109,0.8421,-0.115748787248763,0.149605375212761
Thor_171005,rankSim_M3.mat,R1-R3,-0.00552034345137793,0.9076,-0.156437161506847,0.175898545527743,-0.00417198808003406,0.8958,-0.10760037753943,0.117540198548023
Thor_171005,rankSim_M3.mat,R2-R3,0.0450739140394313,0.3687,-0.0942462632707976,0.201867626727655,0.0295931399379675,0.3773,-0.0649166947939023,0.137736051511336
Thor_171005,rankSim_PMv.mat,R1-R2,-0.00292924955870426,0.9731,-0.249644482269327,0.282128925486029,-0.0132897603485839,0.8143,-0.175578758606616,0.186170796730255
Thor_171005,rankSim_PMv.mat,R1-R3,0.0216735842755594,0.7958,-0.218947663881295,0.298843551109905,0.016557734204793,0.7717,-0.148274212301508,0.203480017512857
Thor_171005,rankSim_PMv.mat,R2-R3,0.156547874624302,0.1581,-0.175467638903021,0.485960945932976,0.105228758169935,0.1586,-0.114595926088708,0.343352499392089
Thor_171005,rankSim_S1.mat,R1-R2,0.412121212121212,0.0248,-0.100875606049642,0.77487473188858,0.280808080808081,0.0272,-0.0851193190454476,0.57739336515001
Thor_171005,rankSim_S1.mat,R1-R3,0.33982683982684,0.0913,-0.18773105122057,0.782243836984342,0.241750841750842,0.079,-0.143968442957537,0.584416801368098
Thor_171005,rankSim_S1.mat,R2-R3,0.315728715728716,0.1828,-0.0764852846359227,0.825844325264531,0.236363636363636,0.1347,-0.0347118567453161,0.663515973690392
Thor_171010,rankSim_All.mat,R1-R2,0.128914412266494,0,0.0323397128094939,0.242372519677234,0.0872515442122001,0,0.0217955224310318,0.164792284653475
Thor_171010,rankSim_All.mat,R1-R3,0.0775160668400272,0.0002,-0.00279597644426097,0.181390649944066,0.0523134849148774,0.0002,-0.0015798111133467,0.123116800736438
Thor_171010,rankSim_All.mat,R2-R3,0.0712937886873967,0.0034,-0.0152042369638714,0.180561024216456,0.0486898681913132,0.0028,-0.0103852262145641,0.124039371544464
Thor_171010,rankSim_M1.mat,R1-R2,0.0898225565809397,0.0295,-0.0547174894495648,0.264545213663842,0.0597079394372785,0.0303,-0.0384460310993526,0.178017742673333
Thor_171010,rankSim_M1.mat,R1-R3,0.231996723023892,0.0002,0.0584801625319065,0.413252965343257,0.15541850823997,0.0002,0.0406968675763457,0.280724306835008
Thor_171010,rankSim_M1.mat,R2-R3,0.186819954177542,0.0009,-0.00366889035969449,0.396436006386794,0.127613439637548,0.0009,-0.00308059592427897,0.277207424830957
Thor_171010,rankSim_M3.mat,R1-R2,0.0688946138065933,0.4193,-0.2521232316072,0.382767997141149,0.044880174291939,0.4356,-0.178387325092616,0.265067982800144
Thor_171010,rankSim_M3.mat,R1-R3,-0.0021945517866514,0.9769,-0.257018113416532,0.31202461846609,-0.00130718954248366,0.9837,-0.180026888932644,0.221517297160896
Thor_171010,rankSim_M3.mat,R2-R3,-0.0884738323553266,0.3001,-0.312494628994834,0.193546942074619,-0.0544662309368192,0.3421,-0.210190888100834,0.145407186587546
Thor_171010,rankSim_PMv.mat,R1-R2,0.105945403921416,0.1657,-0.142772257086471,0.362798898200329,0.0701298701298701,0.1692,-0.101442513640325,0.248838698958892
Thor_171010,rankSim_PMv.mat,R1-R3,-0.0152368620884363,0.833,-0.188228455061163,0.200873493282726,-0.00982495765104461,0.8403,-0.13731838167255,0.136339205501486
Thor_171010,rankSim_PMv.mat,R2-R3,-0.0271666114994451,0.7276,-0.230616091193046,0.188794191554579,-0.0168266516092603,0.7487,-0.158890658949051,0.131505501675809
Thor_171010,rankSim_S1.mat,R1-R2,0.25944170771757,0.2308,-0.567993186735307,0.8262313226342,0.174603174603175,0.2657,-0.466666666666667,0.67536231884058
Thor_171010,rankSim_S1.mat,R1-R3,0.575807334428024,0.0023,-0.245037764933288,0.894918173987941,0.455026455026455,0.0011,-0.217391304347826,0.760683760683761
Thor_171010,rankSim_S1.mat,R2-R3,0.317460317460317,0.2478,-0.325119875980198,0.912215280526727,0.201058201058201,0.3054,-0.257142857142857,0.81651376146789
